steps,acor_times,accept_fracs,max_log_probs
50,5.327930370401332,0.15314814814814814,-2299.014480639933
100,10.8821976098931,0.20185185185185187,-1817.6837162158408
150,16.23015905661468,0.17277777777777778,-1736.9552783918384
200,22.118374407030295,0.1985185185185185,-1700.3786725336715
250,28.42075606115438,0.2985185185185185,-1691.9226836097632
300,34.362267162455254,0.32814814814814813,-1691.9413842718532
350,39.777131335236774,0.425,-1691.6674804174274
400,44.56773827702188,0.35962962962962963,-1691.3802545535937
450,49.09242721866398,0.3501851851851852,-1690.9839983586069
500,53.113261376838985,0.3685185185185185,-1691.8822052715495
550,56.668502468608914,0.41759259259259257,-1691.3909724701184
600,59.9750002836251,0.3831481481481481,-1691.5309894817738
650,62.86542277168818,0.39037037037037037,-1691.4345507035528
700,65.43895930689159,0.4324074074074074,-1691.3436064960479
750,67.81715428247561,0.4285185185185185,-1691.6111044299737
800,69.94684703476258,0.3488888888888889,-1691.84334518866
850,71.77030280967614,0.355,-1691.4915983828369
900,73.42565354413978,0.3896296296296296,-1691.3157772372015
950,74.9549288092008,0.38722222222222225,-1690.8013998542615
1000,76.31504170454173,0.36592592592592593,-1691.6641508266787
1050,77.55018605595332,0.3685185185185185,-1691.8063645850907
1100,78.6497116059753,0.3972222222222222,-1691.862694414514
1150,79.65614377595278,0.4083333333333333,-1691.307654649257
1200,80.57267458550055,0.38166666666666665,-1691.0835567089407
1250,81.40491240235573,0.37574074074074076,-1691.5882002319825
1300,82.149707589282,0.44537037037037036,-1691.1573334011716
1350,82.82607966485557,0.3605555555555556,-1691.0204207385634
1400,83.4775640383515,0.4151851851851852,-1691.3155378842505
1450,84.08041382133669,0.3985185185185185,-1691.247263973023
1500,84.61735841937531,0.347962962962963,-1691.8484371105087
1550,85.09918162451746,0.4335185185185185,-1691.1805058165492
1600,85.55029191082289,0.32166666666666666,-1691.8420877831636
1650,85.94229113013988,0.42203703703703704,-1691.5689269158174
1700,86.30649303690657,0.42648148148148146,-1691.0156176516787
1750,86.58442736200081,0.41,-1691.390922311294
1800,86.880319520835,0.37222222222222223,-1691.177175661466
1850,87.17070942352328,0.3946296296296296,-1691.670415571491
1900,87.42548521543628,0.33870370370370373,-1691.684961291373
1950,87.68506138463937,0.3612962962962963,-1691.3935618314665
2000,87.88980697037158,0.4164814814814815,-1691.2277371516916
2050,88.09092966553497,0.39944444444444444,-1690.9516200294668
2100,88.27081838746962,0.3972222222222222,-1691.2784828521094
2150,88.42092694340225,0.34444444444444444,-1691.2007185066643
2200,88.55634021272004,0.33111111111111113,-1691.1744522146664
2250,88.6803371035834,0.3964814814814815,-1691.3772280002245
2300,88.8284331274121,0.4457407407407407,-1691.8958307395853
2350,88.95382709379768,0.38166666666666665,-1691.3340292163157
2400,89.05920847535646,0.47055555555555556,-1691.150203608627
2450,89.1561244944426,0.3927777777777778,-1691.316869150839
2500,89.2597852148197,0.31037037037037035,-1691.4336328490608
2550,89.36026657168377,0.33925925925925926,-1691.617798632644
2600,89.41092868255235,0.3427777777777778,-1691.407336336167
2650,89.45046443232499,0.38925925925925925,-1690.9258487984582
2700,89.50877027327004,0.43092592592592593,-1691.5367481438848
2750,89.53629012483593,0.3731481481481482,-1691.912275733114
2800,89.58288419027848,0.395,-1691.7739807347195
2850,89.62444440090324,0.43537037037037035,-1691.5934118865785
2900,89.67908610656073,0.4101851851851852,-1691.0781247629116
2950,89.7183039199098,0.4664814814814815,-1691.1559982846416
3000,89.735823477176,0.3814814814814815,-1691.1746154791324
3050,89.7601812382492,0.38925925925925925,-1691.3852871423956
3100,89.77097835620617,0.4103703703703704,-1691.3486852767994
3150,89.762402088964,0.37148148148148147,-1691.3620335327485
3200,89.76232817710462,0.38333333333333336,-1691.221079267637
3250,89.79405479495216,0.3787037037037037,-1691.918608503222
3300,89.82543229799515,0.3985185185185185,-1691.585622167574
3350,89.83223959284942,0.35685185185185186,-1691.5770817161251
3400,89.85296019578763,0.35814814814814816,-1691.3261799700176
3450,89.84217197812067,0.3862962962962963,-1691.706469467932
3500,89.8314383302555,0.35388888888888886,-1691.333074620291
3550,89.82277586450832,0.34074074074074073,-1691.3505181766413
3600,89.8191542333652,0.4248148148148148,-1691.1022506064105
3650,89.80813841380349,0.32185185185185183,-1691.4365610626091
3700,89.81226478904314,0.3459259259259259,-1690.9199230704116
3750,89.7986208400367,0.3985185185185185,-1691.4177997339452
3800,89.78890524728658,0.37037037037037035,-1691.3024995793241
3850,89.74797964670982,0.3390740740740741,-1691.5065134182214
3900,89.7303242575992,0.38555555555555554,-1691.1829995712446
3950,89.70585859022322,0.45166666666666666,-1691.7073856961392
4000,89.65987383295231,0.3124074074074074,-1691.3105884148092
4050,89.60856986811096,0.33,-1691.38353810863
4100,89.5815505828515,0.38407407407407407,-1691.1538091748212
4150,89.5640710455058,0.402037037037037,-1691.6825329921353
4200,89.52975407448326,0.42148148148148146,-1691.4801999180056
4250,89.51869892122683,0.40925925925925927,-1691.3264713952767
4300,89.48713348229288,0.422962962962963,-1691.2935733568156
4350,89.46921807622206,0.3787037037037037,-1691.73648714155
4400,89.43969683495544,0.3985185185185185,-1691.316694526767
4450,89.40573980553607,0.3998148148148148,-1691.1841717545612
4500,89.37178650583019,0.37,-1690.9849241237248
