steps,acor_times,accept_fracs,max_log_probs
50,5.3160746372218854,0.20352941176470588,-4410.642252001285
100,10.821052262625,0.2068627450980392,-3430.257297363131
150,16.415379623254445,0.23088235294117648,-2962.2220346406193
200,22.182747073708843,0.1931372549019608,-2836.1988217308785
250,28.027447338424842,0.21941176470588236,-2705.5830306176304
300,33.96300753350279,0.225,-2639.9235885246867
350,39.88808217259015,0.2096078431372549,-2611.307187984878
400,46.10890516224287,0.285,-2601.383662251138
450,51.92001757739375,0.2569607843137255,-2597.761941924811
500,57.46981026804559,0.2930392156862745,-2597.191912270076
550,62.48449565949188,0.2872549019607843,-2596.7472923335963
600,67.30850868482383,0.31019607843137254,-2596.519304282193
650,71.79650717641891,0.35911764705882354,-2596.432481355871
700,75.93694880294068,0.3736274509803922,-2596.4384813664624
750,79.86149825755729,0.3566666666666667,-2596.939164999235
800,83.61519467616573,0.32715686274509803,-2597.2974960425768
850,87.12115145182976,0.2685294117647059,-2597.5094419861607
900,90.4386263489144,0.31323529411764706,-2596.1519684546433
950,93.53457802460514,0.35333333333333333,-2597.02103056194
1000,96.48436462865311,0.3323529411764706,-2596.085008470459
1050,99.24229880348955,0.2865686274509804,-2597.168695466255
1100,101.76949040043542,0.31186274509803924,-2596.7960721196014
1150,104.20657889406768,0.3079411764705882,-2596.962840649175
1200,106.46505998013423,0.2872549019607843,-2597.4669335203257
1250,108.60310677243021,0.3269607843137255,-2596.701908625652
1300,110.64909175150648,0.34411764705882353,-2597.056569285626
1350,112.53585237729253,0.3290196078431373,-2597.160564475335
1400,114.2989450937695,0.30598039215686273,-2597.300342514809
1450,115.93713007160562,0.3256862745098039,-2596.4344194275636
1500,117.48414767608831,0.34352941176470586,-2596.4342411412185
1550,118.95585626270206,0.30666666666666664,-2596.764471290165
1600,120.38970701068517,0.33862745098039215,-2596.6523219505525
1650,121.72001340494184,0.3270588235294118,-2596.5199348902793
1700,122.95708672955516,0.3086274509803922,-2596.928107920846
1750,124.11171060568928,0.3006862745098039,-2597.2959961407255
1800,125.22260751511853,0.30833333333333335,-2597.2644637927283
1850,126.28474636647155,0.2952941176470588,-2596.895356501548
1900,127.25472176185087,0.2723529411764706,-2597.0568028661055
1950,128.1466978634974,0.307843137254902,-2597.121601768743
2000,129.0279025830036,0.29480392156862745,-2596.9016739581216
2050,129.87804588052606,0.31470588235294117,-2596.859605491683
2100,130.6824446534621,0.2995098039215686,-2596.9833637738056
2150,131.472644588164,0.3368627450980392,-2597.088452060019
2200,132.22962749742032,0.3715686274509804,-2596.2966181657353
2250,132.93276922273995,0.34352941176470586,-2596.9105108768103
2300,133.60767183755615,0.3248039215686275,-2597.2972937921254
2350,134.21159411207336,0.3323529411764706,-2596.4821676360643
2400,134.82070740713172,0.3255882352941176,-2597.48373321065
2450,135.3842894051227,0.30598039215686273,-2597.0056980211034
2500,135.92573153047857,0.3143137254901961,-2597.5182645585405
2550,136.43090338227023,0.2981372549019608,-2597.5447396159757
2600,136.93828836844287,0.31598039215686274,-2597.6523187720572
2650,137.38797939881977,0.3376470588235294,-2596.6080994063054
2700,137.81167894237106,0.3168627450980392,-2595.860162360968
2750,138.21796890683922,0.29911764705882354,-2597.5594002161756
2800,138.60364379903348,0.31872549019607843,-2596.4828411546005
2850,138.9911138748266,0.2995098039215686,-2597.289677999226
2900,139.37034682052285,0.3119607843137255,-2596.5305088137106
2950,139.7256693458597,0.32735294117647057,-2597.4943880994874
3000,140.03714001232666,0.333921568627451,-2596.884338691073
3050,140.35493204007867,0.30470588235294116,-2596.3375881656184
3100,140.67989718321263,0.3427450980392157,-2596.9177475359534
3150,140.9973821143314,0.3120588235294118,-2597.2233579380654
3200,141.28364501610417,0.3391176470588235,-2596.2634085150216
3250,141.55290015640628,0.3030392156862745,-2597.247996545289
3300,141.82033565946125,0.3249019607843137,-2596.8616074847946
3350,142.0562868805835,0.307843137254902,-2597.823828815003
3400,142.31591599361172,0.33990196078431373,-2596.794061128643
